"","Group","mean_Dist","max_Dist","min_Dist","n"
"1","Cactus Virus X",92.1773218390805,99.901,75.701,435
"2","Cactus Virus X Variant A",96.9745384615385,99.901,93.601,325
"3","Cactus Virus X Variant B",97.9676666666667,98.701,97.701,6
"4","Opuntia Virus X",96.201,96.201,96.201,2
"5","Pitaya Virus X",97.5418284023669,99.901,95.901,169
"6","Schlumbergera Virus X",91.6498888888889,99.301,84.701,45
"7","Zygocactus Virus X Variant B1",93.3757899159664,99.901,80.501,119
