"","Group","mean_Dist","max_Dist","min_Dist","n"
"1","Cactus Virus X",92.9368910891089,99.901,76.101,404
"2","Cactus Virus X Variant A",96.1991424148607,99.901,93.101,323
"3","Cactus Virus X Variant B",97.701,98.501,97.001,3
"4","Opuntia Virus X",97.1676666666667,99.101,95.901,3
"5","Pitaya Virus X",98.0629047619048,99.901,97.201,168
"6","Schlumbergera Virus X",90.3854444444444,99.701,82.101,45
"7","Zygocactus Virus X Variant B1",93.6657619047619,99.701,84.001,105
