sample,raw_reads,viral_reads
15H-03_pol_S48,6983951,2197900
15H3_s_S50,7147068,3817127
15H3_sty_S73,9183100,1609915
15H4P_p_S51,8392597,1766341
15H4PET_petal_S52,5120713,3196987
15H4S_s_S53,5240352,1250893
15H5P_p_S54,6347070,1322
15H6P_p_S56,6850087,5479866
15H6S_s_S57,6632382,5887193
SF19-1_sty_S45,4022583,40497
