sample,shortened_name,reads,viral_reads,mean_coverage,assembled_to,tissue_type
SRR11603186 RR-pulp-3 NC_002815,SRR11603186A,,285868,6425.863925,NC_002815,pulp
SRR11603186 RR-pulp-3 NC_006059,SRR11603186B,,210786,4738.702899,NC_006059,pulp
SRR11603186 RR-pulp-3 NC_024458,SRR11603186C,,330210,7346.561929,NC_024458,pulp
SRR11603187 RR-pulp-2 NC_002815,SRR11603187A,,113460,2549.401119,NC_002815,pulp
SRR11603187 RR-pulp-2 NC_006059,SRR11603187B,,144741,3252.259209,NC_006059,pulp
SRR11603187 RR-pulp-2 NC_011659,SRR11603187C,,136636,3063.347354,NC_011659,pulp
SRR11603187 RR-pulp-2 NC_024458,SRR11603187D,,164042,3647.956268,NC_024458,pulp
SRR11603189 RR-peel-3 NC_002815,SRR11603189A,,77762,1749.983217,NC_002815,pulp
SRR11603189 RR-peel-3 NC_006059,SRR11603189B,,"234,138",5267.687953,NC_006059,pulp
SRR11603189 RR-peel-3 NC_011659,SRR11603189C,,"110,860",2489.361827,NC_011659,pulp
SRR11603189 RR-peel-3 NC_024458,SRR11603189D,,"143,848",3201.384454,NC_024458,pulp
SRR11603190 RR-peel-2 NC_002815,SRR11603190A,,"75,202",1691.11521,NC_002815,pulp
SRR11603190 RR-peel-2 NC_006059,SRR11603190B,,"176,564",3967.374245,NC_006059,pulp
SRR11603190 RR-peel-2 NC_024458,SRR11603190C,,"353,822",7867.770855,NC_024458,pulp
SRR11603191 RR-peel-1 NC_002815,SRR11603191A,,"162,368",3650.517387,NC_002815,pulp
SRR11603191 RR-peel-1 NC_006059,SRR11603191B,,"156,888",3527.400513,NC_006059,pulp
SRR11603191 RR-peel-1 NC_024458,SRR11603191C,,"223,108",4967.706006,NC_024458,pulp
