taxon,full_tips,full_mono,rdrp_tips,rdrp_mono,tgb1_tips,tgb1_mono,tgb2_tips,tgb2_mono,tgb3_tips,tgb3_mono,cp_tips,cp_mono
Cactus virus X,34,T,33,T,23,T,24,T,34,T,35,T
Schlumbergera virus X,13,T,10,T,3,T,10,T,10,T,4,T
Zygocactus virus X,13,T,12,T,16,T,17,T,14,T,14,T
Opuntia virus X,3,T,3,T,3,T,3,T,3,T,3,T
Pitaya virus X,21,T,21,T,21,T,20,T,20,T,21,T
