,Group,Dist
154,Cactus Virus X Variant B,0.01320132
155,Cactus Virus X Variant B,0.00330033
156,Cactus Virus X Variant B,0.00990099
157,Pitaya Virus X,0.00660066
158,Pitaya Virus X,0.00330033
159,Pitaya Virus X,0.00330033
160,Pitaya Virus X,0.00330033
161,Pitaya Virus X,0.00660066
162,Pitaya Virus X,0.00330033
163,Pitaya Virus X,0.00330033
164,Pitaya Virus X,0.00330033
165,Pitaya Virus X,0.00660066
166,Pitaya Virus X,0.00330033
167,Pitaya Virus X,0.00330033
168,Pitaya Virus X,0.00330033
169,Pitaya Virus X,0.00660066
170,Pitaya Virus X,0.00330033
171,Pitaya Virus X,0.00330033
172,Pitaya Virus X,0.00330033
173,Pitaya Virus X,0.00660066
174,Pitaya Virus X,0.00330033
175,Pitaya Virus X,0.00330033
176,Pitaya Virus X,0.00330033
177,Pitaya Virus X,0.00660066
178,Pitaya Virus X,0.00330033
179,Pitaya Virus X,0.00330033
180,Pitaya Virus X,0.00330033
181,Pitaya Virus X,0.00660066
182,Pitaya Virus X,0.00330033
183,Pitaya Virus X,0.00330033
184,Pitaya Virus X,0.00330033
185,Pitaya Virus X,0.00660066
186,Pitaya Virus X,0.00660066
187,Pitaya Virus X,0.00660066
188,Pitaya Virus X,0.00990099
189,Pitaya Virus X,0.00990099
190,Pitaya Virus X,0.00990099
191,Pitaya Virus X,0.00660066
192,Pitaya Virus X,0.00660066
193,Pitaya Virus X,0.00660066
194,Pitaya Virus X,0.00660066
195,Pitaya Virus X,0.00660066
196,Pitaya Virus X,0.00330033
197,Pitaya Virus X,0.00330033
198,Pitaya Virus X,0.00330033
199,Pitaya Virus X,0.00330033
200,Pitaya Virus X,0.00330033
201,Pitaya Virus X,0.00330033
202,Pitaya Virus X,0.00330033
203,Pitaya Virus X,0.00330033
204,Pitaya Virus X,0.00330033
205,Pitaya Virus X,0.00660066
206,Pitaya Virus X,0.00660066
207,Pitaya Virus X,0.00330033
208,Pitaya Virus X,0.00330033
209,Pitaya Virus X,0.00330033
210,Pitaya Virus X,0.00330033
211,Pitaya Virus X,0.00330033
212,Pitaya Virus X,0.00330033
213,Pitaya Virus X,0.00330033
214,Pitaya Virus X,0.00330033
215,Pitaya Virus X,0.00330033
216,Pitaya Virus X,0.00330033
217,Pitaya Virus X,0.00330033
218,Pitaya Virus X,0.00330033
219,Pitaya Virus X,0.00330033
220,Pitaya Virus X,0.00330033
221,Pitaya Virus X,0.00330033
222,Schlumbergera Virus X,0.059405941
223,Schlumbergera Virus X,0.066006601
224,Schlumbergera Virus X,0.056105611
225,Schlumbergera Virus X,0.062706271
226,Schlumbergera Virus X,0.062706271
227,Schlumbergera Virus X,0.062706271
228,Schlumbergera Virus X,0.062706271
229,Schlumbergera Virus X,0.062706271
230,Schlumbergera Virus X,0.062706271
231,Schlumbergera Virus X,0.01320132
232,Schlumbergera Virus X,0.01320132
233,Schlumbergera Virus X,0.00990099
234,Schlumbergera Virus X,0.00990099
235,Schlumbergera Virus X,0.00990099
236,Schlumbergera Virus X,0.00990099
237,Schlumbergera Virus X,0.00990099
238,Schlumbergera Virus X,0.00990099
239,Schlumbergera Virus X,0.01320132
240,Schlumbergera Virus X,0.00330033
241,Schlumbergera Virus X,0.00330033
242,Schlumbergera Virus X,0.00330033
243,Schlumbergera Virus X,0.00330033
244,Schlumbergera Virus X,0.00330033
245,Schlumbergera Virus X,0.00330033
246,Schlumbergera Virus X,0.00990099
247,Schlumbergera Virus X,0.00990099
248,Schlumbergera Virus X,0.00990099
249,Schlumbergera Virus X,0.00990099
250,Schlumbergera Virus X,0.00990099
251,Schlumbergera Virus X,0.00990099
252,Zygocactus Virus X Variant B1,0.0330033
253,Zygocactus Virus X Variant B1,0.0330033
254,Zygocactus Virus X Variant B1,0.0330033
255,Zygocactus Virus X Variant B1,0.0330033
256,Zygocactus Virus X Variant B1,0.0330033
257,Zygocactus Virus X Variant B1,0.0330033
258,Zygocactus Virus X Variant B1,0.02310231
259,Zygocactus Virus X Variant B1,0.02970297
260,Zygocactus Virus X Variant B1,0.0330033
261,Zygocactus Virus X Variant B1,0.03630363
262,Zygocactus Virus X Variant B1,0.0330033
263,Zygocactus Virus X Variant B1,0.0330033
264,Zygocactus Virus X Variant B1,0.0330033
265,Zygocactus Virus X Variant B1,0.0330033
266,Zygocactus Virus X Variant B1,0.00660066
267,Zygocactus Virus X Variant B1,0.01320132
268,Zygocactus Virus X Variant B1,0.00330033
269,Zygocactus Virus X Variant B1,0.01980198
270,Zygocactus Virus X Variant B1,0.00330033
271,Zygocactus Virus X Variant B1,0.00660066
272,Zygocactus Virus X Variant B1,0.01320132
273,Zygocactus Virus X Variant B1,0.00330033
274,Zygocactus Virus X Variant B1,0.01980198
275,Zygocactus Virus X Variant B1,0.00330033
276,Zygocactus Virus X Variant B1,0.00660066
277,Zygocactus Virus X Variant B1,0.01320132
278,Zygocactus Virus X Variant B1,0.00330033
279,Zygocactus Virus X Variant B1,0.01980198
280,Zygocactus Virus X Variant B1,0.00330033
281,Zygocactus Virus X Variant B1,0.00660066
282,Zygocactus Virus X Variant B1,0.01320132
283,Zygocactus Virus X Variant B1,0.00330033
284,Zygocactus Virus X Variant B1,0.01980198
285,Zygocactus Virus X Variant B1,0.00330033
286,Zygocactus Virus X Variant B1,0.00660066
287,Zygocactus Virus X Variant B1,0.01320132
288,Zygocactus Virus X Variant B1,0.00330033
289,Zygocactus Virus X Variant B1,0.01980198
290,Zygocactus Virus X Variant B1,0.00330033
291,Zygocactus Virus X Variant B1,0.01980198
292,Zygocactus Virus X Variant B1,0.00990099
293,Zygocactus Virus X Variant B1,0.02640264
294,Zygocactus Virus X Variant B1,0.00990099
295,Zygocactus Virus X Variant B1,0.00660066
296,Zygocactus Virus X Variant B1,0.00660066
297,Zygocactus Virus X Variant B1,0.00660066
298,Zygocactus Virus X Variant B1,0.00660066
299,Zygocactus Virus X Variant B1,0.00990099
300,Zygocactus Virus X Variant B1,0.01650165
301,Zygocactus Virus X Variant B1,0.01650165
302,Zygocactus Virus X Variant B1,0.01320132
303,Zygocactus Virus X Variant B1,0.01320132
304,Zygocactus Virus X Variant B1,0.01320132
305,Zygocactus Virus X Variant B1,0.01320132
306,Zygocactus Virus X Variant B1,0.01650165
307,Zygocactus Virus X Variant B1,0.00660066
308,Zygocactus Virus X Variant B1,0.00330033
309,Zygocactus Virus X Variant B1,0.00330033
310,Zygocactus Virus X Variant B1,0.00330033
311,Zygocactus Virus X Variant B1,0.00330033
312,Zygocactus Virus X Variant B1,0.02310231
313,Zygocactus Virus X Variant B1,0.01980198
314,Zygocactus Virus X Variant B1,0.01980198
315,Zygocactus Virus X Variant B1,0.01980198
316,Zygocactus Virus X Variant B1,0.01980198
317,Zygocactus Virus X Variant B1,0.00330033
318,Zygocactus Virus X Variant B1,0.00330033
319,Zygocactus Virus X Variant B1,0.00330033
320,Zygocactus Virus X Variant B1,0.00330033
2,Cactus Virus X,0.01320132
3,Cactus Virus X,0.00330033
4,Cactus Virus X,0.066006601
5,Cactus Virus X,0.066006601
6,Cactus Virus X,0.069306931
