"","Group","mean_Dist","max_Dist","min_Dist","n"
"1","Cactus Virus X",91.8622903225806,99.901,76.101,434
"2","Cactus Virus X Variant A",96.4105679012346,99.901,93.501,324
"3","Cactus Virus X Variant B",97.9676666666667,98.501,97.601,6
"4","Opuntia Virus X",97.401,99.301,96.201,3
"5","Pitaya Virus X",98.0099285714286,99.901,97.201,168
"6","Schlumbergera Virus X",90.7121111111111,99.601,82.601,45
"7","Zygocactus Virus X Variant B1",93.8268333333333,99.801,80.601,120
