"","Group","mean_Dist","max_Dist","min_Dist","n"
"1","Cactus Virus X",0.0453066197837838,0.146634615,0.002403846,333
"2","Cactus Virus X Variant A",0.00678035512556054,0.028846154,0.002403846,223
"3","Cactus Virus X Variant B",0.0100160255,0.014423077,0.004807692,6
"4","Opuntia Virus X",0.024038462,0.024038462,0.024038462,2
"5","Pitaya Virus X",0.00682382119354839,0.016826923,0.002403846,124
"6","Schlumbergera Virus X",0.0207532051666667,0.052884615,0.002403846,30
"7","Zygocactus Virus X Variant B1",0.0208333334444444,0.074519231,0.002403846,108
