monophyly,,,,,,,,
taxon,number of tips,,full,rdrp,tgb1,tgb2,tgb3,cp
Cactus virus X,,,,,,,,
Schlumbergera virus X,,,,,,,,
Zygocactus virus X,,,,,,,,
Opuntia virus X,,,,,,,,
Nandina mosaic virus,,,,,,,,
Alternanthera mosaic virus,,,,,,,,
Clover yellow mosaic virus,,,,,,,,
Pitaya virus X,,,,,,,,
Papaya mosaic virus,,,,,,,,
Plantago asiatica mosaic virus,,,,,,,,
Senna mosaic virus,,,,,,,,
Hydrangea ringspot virus,,,,,,,,
Babaco mosaic virus,,,,,,,,
Mytcor virus 1,,,,,,,,
