"","Group","mean_Dist","max_Dist","min_Dist","n"
"1","Cactus Virus X",0.0343064350343348,0.115511551,0.00330033,233
"2","Cactus Virus X Variant A",0.0205619245723684,0.085808581,0.00330033,152
"3","Cactus Virus X Variant B",0.00880088,0.01320132,0.00330033,3
"4","Pitaya Virus X",0.00446813907692308,0.00990099,0.00330033,65
"5","Schlumbergera Virus X",0.0245324533,0.066006601,0.00330033,30
"6","Zygocactus Virus X Variant B1",0.0148275695652174,0.03630363,0.00330033,69
